Binary Time
0.0008795261383056641
Hash Time
0.0
         1765679 function calls (1747418 primitive calls) in 6.922 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    3.830    3.830    6.248    6.248 plot_gtex.py:42(main)
        2    0.339    0.169    0.339    0.169 {built-in method matplotlib._png.write_png}
    40333    0.198    0.000    0.423    0.000 hash_tables.py:45(add)
    40363    0.185    0.000    0.215    0.000 hash_functions.py:19(h_rolling)
    26442    0.185    0.000    0.185    0.000 {method 'split' of 'str' objects}
    22951    0.116    0.000    0.119    0.000 plot_gtex.py:25(binary_search)
      282    0.099    0.000    0.099    0.000 {built-in method marshal.loads}
      123    0.074    0.001    0.074    0.001 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       11    0.070    0.006    0.070    0.006 {method 'readline' of '_io.BufferedReader' objects}
        1    0.063    0.063    6.923    6.923 plot_gtex.py:1(<module>)
    22953    0.058    0.000    0.065    0.000 plot_gtex.py:15(linear_search)
    18288    0.054    0.000    0.054    0.000 {built-in method numpy.array}
      369    0.053    0.000    0.053    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
    14027    0.048    0.000    0.048    0.000 {method 'reduce' of 'numpy.ufunc' objects}
1198/1126    0.039    0.000    0.087    0.000 {built-in method builtins.__build_class__}
      198    0.036    0.000    0.043    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    311/1    0.028    0.000    6.923    6.923 {built-in method builtins.exec}
      576    0.027    0.000    0.063    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       39    0.025    0.001    0.026    0.001 {built-in method _imp.create_dynamic}
   280701    0.025    0.000    0.025    0.000 {built-in method builtins.ord}
    11520    0.024    0.000    0.071    0.000 fromnumeric.py:69(_wrapreduction)
   184336    0.024    0.000    0.024    0.000 {method 'append' of 'list' objects}
        3    0.023    0.008    0.024    0.008 backend_agg.py:95(__init__)
      765    0.020    0.000    0.214    0.000 lines.py:731(draw)
112801/112586    0.019    0.000    0.019    0.000 {built-in method builtins.len}
    18476    0.018    0.000    0.018    0.000 __init__.py:930(__getitem__)
17175/13316    0.016    0.000    0.030    0.000 artist.py:230(stale)
      334    0.015    0.000    0.015    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    26543    0.015    0.000    0.015    0.000 artist.py:940(sticky_edges)
      434    0.014    0.000    0.201    0.000 _base.py:2486(handle_single_axis)
45943/45937    0.014    0.000    0.026    0.000 {built-in method builtins.isinstance}
      431    0.014    0.000    0.099    0.000 text.py:276(_get_layout)
      123    0.013    0.000    0.013    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
      367    0.013    0.000    0.082    0.000 lines.py:290(__init__)
     1362    0.013    0.000    0.013    0.000 {built-in method posix.stat}
      381    0.013    0.000    0.057    0.000 lines.py:649(recache)
    22050    0.012    0.000    0.015    0.000 {built-in method builtins.getattr}
     4869    0.012    0.000    0.012    0.000 {built-in method numpy.dot}
     1313    0.012    0.000    0.016    0.000 transforms.py:2902(nonsingular)
3615/2012    0.012    0.000    0.035    0.000 transforms.py:2498(get_affine)
    12370    0.011    0.000    0.011    0.000 {built-in method builtins.hasattr}
4514/1941    0.011    0.000    0.016    0.000 transforms.py:142(_invalidate_internal)
     4104    0.010    0.000    0.010    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
    80667    0.010    0.000    0.010    0.000 {built-in method time.time}
      868    0.010    0.000    0.024    0.000 numeric.py:2508(within_tol)
    10012    0.009    0.000    0.009    0.000 transforms.py:88(__init__)
      135    0.009    0.000    0.169    0.001 text.py:691(draw)
     1853    0.008    0.000    0.024    0.000 transforms.py:771(__init__)
     1555    0.008    0.000    0.040    0.000 transforms.py:1070(get_points)
      217    0.007    0.000    0.022    0.000 _base.py:2476(<listcomp>)
        1    0.007    0.007    0.046    0.046 numeric.py:1(<module>)
     1504    0.007    0.000    0.011    0.000 font_manager.py:714(__hash__)
      282    0.007    0.000    0.007    0.000 {method 'read' of '_io.FileIO' objects}
      282    0.007    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:830(get_data)
     3472    0.007    0.000    0.007    0.000 {method 'copy' of 'numpy.ndarray' objects}
      605    0.007    0.000    0.007    0.000 <frozen importlib._bootstrap>:103(release)
     6714    0.007    0.000    0.013    0.000 transforms.py:1767(__init__)
    29428    0.007    0.000    0.007    0.000 {method 'rstrip' of 'str' objects}
        2    0.006    0.003    0.006    0.003 {built-in method _ctypes.POINTER}
      555    0.006    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
      277    0.006    0.000    0.009    0.000 function_base.py:431(add_newdoc)
     4091    0.006    0.000    0.012    0.000 abc.py:180(__instancecheck__)
 1306/659    0.006    0.000    0.015    0.000 units.py:141(get_converter)
     5177    0.006    0.000    0.015    0.000 transforms.py:1912(__init__)
      282    0.006    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
      534    0.005    0.000    0.009    0.000 artist.py:87(__init__)
      217    0.005    0.000    0.007    0.000 __init__.py:2369(normalize_kwargs)
        1    0.005    0.005    0.005    0.005 {built-in method fromkeys}
      217    0.005    0.000    0.005    0.000 _base.py:2477(<listcomp>)
    11520    0.005    0.000    0.005    0.000 fromnumeric.py:70(<dictcomp>)
   1056/3    0.005    0.000    0.584    0.195 artist.py:47(draw_wrapper)
  271/111    0.005    0.000    0.013    0.000 sre_parse.py:470(_parse)
      434    0.005    0.000    0.009    0.000 _base.py:2495(<listcomp>)
      628    0.005    0.000    0.013    0.000 path.py:198(_update_values)
      868    0.005    0.000    0.050    0.000 numeric.py:2431(isclose)
      361    0.005    0.000    0.010    0.000 transforms.py:2007(rotate)
     3268    0.005    0.000    0.023    0.000 colors.py:142(to_rgba)
     1800    0.005    0.000    0.005    0.000 transforms.py:169(set_children)
     6232    0.005    0.000    0.005    0.000 _weakrefset.py:70(__contains__)
     1355    0.005    0.000    0.050    0.000 transforms.py:1425(transform)
     9917    0.005    0.000    0.005    0.000 {built-in method builtins.iter}
      440    0.004    0.000    0.012    0.000 __init__.py:332(connect)
      605    0.004    0.000    0.013    0.000 inspect.py:2100(_signature_from_function)
      217    0.004    0.000    0.243    0.001 _base.py:2451(autoscale_view)
      769    0.004    0.000    0.005    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
     1774    0.004    0.000    0.010    0.000 numeric.py:2656(seterr)
      906    0.004    0.000    0.013    0.000 backend_bases.py:849(__init__)
     4221    0.004    0.000    0.037    0.000 re.py:286(_compile)
       30    0.004    0.000    0.006    0.000 hash_tables.py:52(search)
      314    0.004    0.000    0.114    0.000 text.py:887(get_window_extent)
     3812    0.004    0.000    0.027    0.000 fromnumeric.py:2512(amin)
      428    0.004    0.000    0.004    0.000 {built-in method matplotlib._path.update_path_extents}
      381    0.004    0.000    0.004    0.000 stride_tricks.py:185(_broadcast_shape)
     3747    0.004    0.000    0.004    0.000 {built-in method builtins.max}
      217    0.004    0.000    0.004    0.000 _base.py:2478(<listcomp>)
    23399    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
      217    0.004    0.000    0.076    0.000 _base.py:352(_plot_args)
     1774    0.004    0.000    0.004    0.000 numeric.py:2758(geterr)
      383    0.004    0.000    0.009    0.000 shape_base.py:599(column_stack)
